"Pág.","Mês","Ano","Salário Base","Dias Trabalhados","Horas Extras 100%","Horas Extras 100% Noturna","Ad. Noturno 20%","DSR sobre Variaveis","DSR sobre H.Extra","Contr. INSS Remuneração","Adiantamento pago","Conv. Odonto. (S. Franc.)","Diferença de 13º salário","Trib.INSS (13o)"
"1","10","2019","1.678,61","1.678,61","76,30","47,40","107,06","26,77","30,93","177,03","671,44","10,99","",""
"2","11","2019","1.678,61","1.678,61","76,30","51,74","111,23","26,70","30,73","177,77","671,44","10,99","",""
"3","12","2019","1.678,61","1.678,61","76,30","37,84","107,60","26,90","28,54","176,02","671,44","10,99","23,04","1,84"
"4","01","2020","1.678,61","1.678,61","76,30","46,90","82,30","19,75","29,57","174,00","671,44","10,99","",""
"5","02","2020","1.678,61","1.678,61","","","110,36","21,22","","144,81","671,44","10,99","",""
